question_id,config,task_type,ok,error,latency_ms,rag_query_count,gold_doc_coverage,gold_chunk_coverage,answer_correctness_score,answer_completeness_score,citation_accuracy_score,faithfulness_score,llm_judge_weighted_score,final_citation_count,duplicate_rag_query_count,rag_query_blocked_count,support_verdict,missing_required_items,citation_mismatches,revision_instruction,llm_judge_failure_type,llm_judge_overall_reason
Q011,c2_stage2_old_30,multi_doc,True,,24298,1,1.0,0.4,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer correctly distinguishes Dify and RAGFlow, is complete, cites relevant evidence, and remains faithful to the retrieved information."
Q012,c2_stage2_old_30,multi_doc,True,,22420,1,1.0,0.3333,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The answer fails to provide the required comparison of classification perspectives, resulting in low correctness and completeness, though it is faithful to the evidence."
Q013,c2_stage2_old_30,table_analysis,True,,22437,1,1.0,0.0,0.0,0.0,0.0,0.5,0.125,5.0,0.0,0.0,,,,,over_refusal,"The generated answer incorrectly refuses to answer the question, claiming insufficient evidence, while the retrieved evidence actually contains enough information to classify the papers. This results in low correctness and completeness, and a partial faithfulness score."
Q014,c2_stage2_old_30,table_analysis,True,,23604,1,0.3333,0.0,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer is partially correct and faithful but incomplete, missing several required directions from the reference, and citations are not fully aligned with gold chunk IDs."
Q015,c2_stage2_old_30,table_analysis,True,,23853,1,0.75,0.5,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The answer is correct, complete, and faithful, but citation accuracy is slightly reduced due to a weak chunk-level citation for LangGraph."
Q016,c2_stage2_old_30,calculation,True,,8679,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q017,c2_stage2_old_30,code_execution,True,,9339,1,1.0,0.6667,0.5,0.5,0.5,0.5,0.5,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies two of the three required data acquisition methods (arXiv API and Fetcher) with proper examples, but fails to mention urllib and incorrectly adds Git as a third method, leading to partial correctness and completeness."
Q018,c2_stage2_old_30,code_execution,True,,8612,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q019,c2_stage2_old_30,calculation,True,,22442,1,1.0,1.0,0.5,0.5,1.0,1.0,0.75,5.0,0.0,0.0,,,,,incomplete_answer,"The answer is factually correct and well-cited, but it fails to single out context_recall as the unique largest improvement as per the reference answer, instead presenting a tie with context_precision, which makes it incomplete."
Q020,c2_stage2_old_30,insufficient_evidence,True,,23864,1,0.3333,0.3333,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly identifies insufficient evidence with strong reasoning, is complete, faithful to evidence, and has partially accurate citations."
Q021,c2_stage2_old_30,multi_doc,True,,25712,1,0.3333,0.0,0.5,0.5,0.5,0.5,0.5,5.0,0.0,0.0,,,,,incomplete_answer,"The answer fails to fully compare all three frameworks as required, particularly missing LlamaIndex's role, and the combination suggestion is incomplete."
Q022,c2_stage2_old_30,multi_doc,True,,25216,1,0.75,0.75,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The generated answer correctly identifies tool capabilities but fails to provide the required combination selection, resulting in an incomplete answer."
Q023,c2_stage2_old_30,multi_doc,True,,26943,1,0.4,0.4,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly handles the available evidence but fails to group all five methods as required, resulting in partial correctness and completeness."
Q024,c2_stage2_old_30,multi_doc,True,,24282,1,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer fully meets all scoring dimensions with correct, complete, well-cited, and faithful content."
Q025,c2_stage2_old_30,multi_doc,True,,25533,1,0.3333,0.3333,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The generated answer fails to compare all three methods as required, omitting rerank entirely, and does not address why complex problems need more than one retrieval, resulting in an incomplete answer."
Q026,c2_stage2_old_30,multi_doc,True,,23533,1,0.6667,0.6,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q027,c2_stage2_old_30,fuzzy_query,True,,25870,1,0.6667,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly decomposes the query, provides a step-by-step narrowing process, and is faithful to the evidence, though citation chunk-level precision is slightly weak."
Q028,c2_stage2_old_30,multi_doc,True,,31793,1,0.6667,0.25,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The answer is correct, complete, and faithful, with minor citation alignment issues that do not undermine the overall quality."
Q029,c2_stage2_old_30,insufficient_evidence,True,,25364,1,1.0,0.6667,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly identifies the lack of evidence to prove SoK's superiority, explains the differences, and is faithful to the evidence, though citation accuracy is slightly weakened by missing a gold chunk."
Q030,c2_stage2_old_30,multi_doc,True,,23800,1,1.0,0.75,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q001,c2_stage3_old_30,simple_qa,True,,10112,1,1.0,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly lists three core components with their roles, is complete, mostly accurate in citations, and faithful to the evidence."
Q002,c2_stage3_old_30,simple_qa,True,,8895,1,1.0,0.3333,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly lists and explains RAGAS metrics, is complete, and is faithful to the evidence, though citation accuracy is slightly weak due to some irrelevant citations."
Q003,c2_stage3_old_30,simple_qa,True,,23436,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q004,c2_stage3_old_30,simple_qa,True,,9641,1,1.0,0.25,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q005,c2_stage3_old_30,fuzzy_query,True,,22022,1,1.0,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,weak_citation,"The answer correctly identifies Self-RAG and its self-reflection mechanism, but includes citations to irrelevant documents, resulting in weak citation accuracy."
Q006,c2_stage3_old_30,fuzzy_query,True,,24533,1,1.0,1.0,0.5,0.5,1.0,1.0,0.75,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies several technical directions from the survey but omits '自适应检索' and '动态工作流设计', making it partially complete; citations are accurate and faithful to evidence."
Q007,c2_stage3_old_30,fuzzy_query,True,,23918,1,0.25,0.1429,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The answer only recommends 2 projects instead of the required 3-4, and lacks positioning descriptions, resulting in an incomplete answer."
Q008,c2_stage3_old_30,fuzzy_query,True,,32791,1,0.2,0.0,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,over_refusal,"The generated answer correctly refuses to compare due to lack of evidence, but fails to meet the reference answer's requirement to compare methods and explain their focuses."
Q009,c2_stage3_old_30,multi_doc,True,,9368,1,1.0,0.0,0.0,0.0,0.0,1.0,0.25,5.0,0.0,0.0,,,,,over_refusal,The answer refuses to compare despite the reference answer being answerable; it is an over-refusal that fails to meet the task requirements.
Q010,c2_stage3_old_30,multi_doc,True,,10143,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q011,c2_stage3_old_30,multi_doc,True,,24668,1,1.0,0.4,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies the different focuses of Dify and RAGFlow but lacks the specific low-code and deep document understanding details from the reference, making it partially complete."
Q012,c2_stage3_old_30,multi_doc,True,,24965,1,1.0,0.3333,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The generated answer fails to address the core question about the difference in classification perspectives between the two surveys, resulting in low correctness and completeness. While faithful to evidence, it is incomplete and lacks proper citation for the second paper."
Q013,c2_stage3_old_30,table_analysis,True,,23548,1,0.0,0.0,0.0,0.0,0.0,1.0,0.25,5.0,0.0,0.0,,,,,over_refusal,"The generated answer refuses to answer the question due to insufficient evidence, but the reference answer indicates the question is answerable from the full document. The answer is faithful to the limited evidence but fails on correctness and completeness."
Q014,c2_stage3_old_30,table_analysis,True,,25229,1,0.3333,0.0,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer is partially correct and faithful, but incomplete in covering the required specific RAG improvement directions and their core ideas."
Q015,c2_stage3_old_30,table_analysis,True,,24207,1,0.75,0.5,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly classifies the projects but deviates from the reference by labeling Dify as a hybrid, and lacks a concise summary of the classification, resulting in partial correctness and completeness."
Q016,c2_stage3_old_30,calculation,True,,8430,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q017,c2_stage3_old_30,code_execution,True,,9313,1,1.0,0.6667,0.5,0.5,1.0,1.0,0.75,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies two data acquisition methods with proper citations but omits the third method (urllib direct request), resulting in partial correctness and completeness."
Q018,c2_stage3_old_30,code_execution,True,,9027,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q019,c2_stage3_old_30,calculation,True,,23350,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and fully faithful to the evidence."
Q020,c2_stage3_old_30,insufficient_evidence,True,,24245,1,0.3333,0.3333,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly identifies insufficient evidence with two specific reasons, is complete, mostly accurate in citations, and fully faithful to the evidence."
Q021,c2_stage3_old_30,multi_doc,True,,26011,1,0.6667,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The answer correctly compares the three frameworks and provides a suitable combination for a course project, with minor citation precision issues."
Q022,c2_stage3_old_30,multi_doc,True,,23930,1,0.75,0.5,0.0,0.0,0.5,1.0,0.375,5.0,0.0,0.0,,,,,incomplete_answer,"The generated answer fails to provide the required combination selection and selection criteria, resulting in low correctness and completeness, though it is faithful to the evidence and partially accurate in citations."
Q023,c2_stage3_old_30,multi_doc,True,,26137,1,0.6,0.4,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly groups three methods with evidence but fails to cover A-RAG and KG-RAG, leading to incompleteness and partial correctness."
Q024,c2_stage3_old_30,multi_doc,True,,26376,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer fully satisfies all dimensions: it correctly distinguishes task types, provides complete coverage, uses accurate citations, and remains faithful to the evidence."
Q025,c2_stage3_old_30,multi_doc,True,,25129,1,0.6667,0.3333,0.0,0.0,0.5,0.5,0.25,5.0,0.0,0.0,,,,,incomplete_answer,"The generated answer does not compare all three methods as required, missing rerank entirely, resulting in an incomplete answer that fails to meet the reference answer and judge rule."
Q026,c2_stage3_old_30,multi_doc,True,,25457,1,0.6667,0.6,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q027,c2_stage3_old_30,fuzzy_query,True,,25768,1,1.0,0.0,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer correctly identifies Self-RAG and CRAG with supporting evidence, but it lacks a clear stepwise narrowing process and omits A-RAG, resulting in partial correctness and completeness."
Q028,c2_stage3_old_30,multi_doc,True,,24307,1,0.6667,0.25,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,,,,incomplete_answer,"The answer partially addresses the question but fails to clearly and distinctly explain the roles of routing, planning, and multi-round retrieval as required by the judge rule, resulting in incomplete coverage."
Q029,c2_stage3_old_30,insufficient_evidence,True,,24900,1,1.0,0.0,1.0,1.0,0.5,1.0,0.875,5.0,0.0,0.0,,,,,none,"The generated answer correctly identifies the lack of evidence and explains why a comparison cannot be made, satisfying correctness and completeness, with faithful use of evidence but slightly weak citation accuracy due to not using gold chunks."
Q030,c2_stage3_old_30,multi_doc,True,,24471,1,1.0,0.75,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q001,c2_stage3_next_30,simple_qa,True,,14994,1,1.0,0.0,0.5,0.5,0.5,1.0,0.625,3.0,0.0,0.0,,[],[],,incomplete_answer,"The answer is partially correct and faithful but lacks completeness and precision in component naming and explanation, leading to a moderate score."
Q002,c2_stage3_next_30,simple_qa,True,,12933,1,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,[],[],,none,The generated answer correctly and completely addresses the question with accurate citations and faithful use of evidence.
Q003,c2_stage3_next_30,simple_qa,True,,27028,1,1.0,0.6,1.0,0.5,1.0,1.0,0.875,5.0,0.0,0.0,,[],[],,none,"The answer is correct and faithful, with accurate citations, but slightly incomplete regarding the full set of core functions."
Q004,c2_stage3_next_30,simple_qa,True,,14331,1,1.0,0.25,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q005,c2_stage3_next_30,fuzzy_query,True,,27626,1,0.5,0.0,1.0,1.0,0.5,1.0,0.875,2.0,0.0,0.0,,[],[],,none,"The answer correctly identifies Self-RAG and its self-reflection mechanism, is complete, faithful to evidence, and has partially accurate citations."
Q006,c2_stage3_next_30,fuzzy_query,True,,27841,1,1.0,0.6667,0.5,0.5,0.5,1.0,0.625,3.0,0.0,0.0,,[],[],,incomplete_answer,"The answer is faithful to the evidence but fails to address the core technical directions requested, resulting in partial correctness and completeness."
Q007,c2_stage3_next_30,fuzzy_query,True,,28021,1,0.25,0.0,0.5,0.5,0.5,1.0,0.625,3.0,0.0,0.0,,[],[],,incomplete_answer,"The answer lists 4 projects but does not include the required Dify and CrewAI, and lacks clear positioning into RAG platform, Agent orchestration, or multi-agent frameworks, making it incomplete."
Q008,c2_stage3_next_30,fuzzy_query,True,,28910,1,0.2,0.0,0.0,0.0,0.5,1.0,0.375,2.0,0.0,0.0,,[],[],,incomplete_answer,"The answer fails to compare the required methods, resulting in low correctness and completeness, but is faithful to the limited evidence."
Q009,c2_stage3_next_30,multi_doc,True,,28222,1,1.0,0.0,0.0,0.0,0.0,1.0,0.25,2.0,0.0,0.0,,[],[],,incomplete_answer,"The generated answer refuses to answer due to insufficient evidence, but the reference answer was answerable; it lacks any comparison of design differences."
Q010,c2_stage3_next_30,multi_doc,True,,14376,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence, meeting all evaluation criteria."
Q011,c2_stage3_next_30,multi_doc,True,,28160,1,1.0,0.4,0.0,0.0,0.5,1.0,0.375,2.0,0.0,0.0,,[],[],,over_refusal,"The generated answer incorrectly refuses to compare the two platforms, resulting in low correctness and completeness, though it is faithful to the evidence and uses relevant citations."
Q012,c2_stage3_next_30,multi_doc,True,,27758,1,0.5,0.0,0.0,0.0,0.0,1.0,0.25,2.0,0.0,0.0,,[],[],,over_refusal,"The generated answer refuses to answer due to missing evidence, but the reference answer is answerable; thus it fails on correctness and completeness, though it is faithful to the evidence."
Q013,c2_stage3_next_30,table_analysis,True,,26756,1,0.0,0.0,0.0,0.0,0.0,1.0,0.25,2.0,0.0,0.0,,[],[],,over_refusal,"The generated answer refuses to answer due to insufficient evidence, but the reference answer shows the question is answerable with the provided gold document; thus the answer is an over-refusal."
Q014,c2_stage3_next_30,table_analysis,True,,27235,1,0.1667,0.0,0.0,0.0,0.5,1.0,0.375,2.0,0.0,0.0,,[],[],,incomplete_answer,"The generated answer is incomplete, listing only one improvement direction instead of the required 4-5, and thus fails to satisfy the judge rule."
Q015,c2_stage3_next_30,table_analysis,True,,31001,1,0.5,0.25,0.0,0.5,0.5,0.5,0.375,4.0,0.0,0.0,,[],[],,incomplete_answer,"The generated answer fails to classify Dify as a RAG platform as required, resulting in an incomplete answer and incorrect classification."
Q016,c2_stage3_next_30,calculation,True,,13850,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q017,c2_stage3_next_30,code_execution,True,,13433,1,1.0,0.3333,0.5,0.5,1.0,1.0,0.75,2.0,0.0,0.0,,[],[],,incomplete_answer,"The answer correctly identifies two data acquisition methods with proper citations but misses the third method (urllib), resulting in partial correctness and completeness."
Q018,c2_stage3_next_30,code_execution,True,,14358,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q019,c2_stage3_next_30,calculation,True,,30297,1,1.0,1.0,0.5,0.5,1.0,1.0,0.75,2.0,0.0,0.0,,[],[],,incomplete_answer,"The answer is mostly correct and faithful, but it fails to uniquely identify context_recall as the largest improvement, leading to partial correctness and completeness."
Q020,c2_stage3_next_30,insufficient_evidence,True,,31320,1,0.3333,0.0,0.5,0.5,0.5,1.0,0.625,2.0,0.0,0.0,,[],[],,incomplete_answer,"The answer correctly identifies insufficient evidence but provides only one weak reason, missing a second specific reason as required by the judge rule, and citations do not match gold chunks."
Q021,c2_stage3_next_30,multi_doc,True,,35401,1,0.3333,0.0,0.5,0.5,0.5,0.5,0.5,3.0,0.0,0.0,,[],[],,incomplete_answer,"The answer partially addresses the comparison but fails to fully cover LlamaIndex's role and provide a complete combination scheme, resulting in an incomplete answer."
Q022,c2_stage3_next_30,multi_doc,True,,29706,1,0.75,0.5,0.0,0.0,0.5,1.0,0.375,4.0,0.0,0.0,,[],[],,over_refusal,"The generated answer correctly identifies the evidence gap but over-refuses by not providing any combination suggestion, leading to low correctness and completeness."
Q023,c2_stage3_next_30,multi_doc,True,,31431,1,0.6,0.4,0.5,0.5,0.5,0.5,0.5,5.0,0.0,0.0,,[],[],,incomplete_answer,"The answer partially groups the methods but is incomplete due to missing KG-RAG and misclassification of CRAG, leading to a partial score across dimensions."
Q024,c2_stage3_next_30,multi_doc,True,,31260,1,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,,[],[],,none,"The generated answer correctly distinguishes task types for traditional RAG and Agentic RAG, provides clear judgment basis, and is fully supported by the evidence and citations."
Q025,c2_stage3_next_30,multi_doc,True,,29756,1,0.3333,0.3333,0.0,0.0,0.0,1.0,0.25,3.0,0.0,0.0,,[],[],,over_refusal,"The generated answer incorrectly refuses to answer the question, claiming insufficient evidence, while the reference answer is answerable from the gold documents; thus it fails correctness and completeness, but is faithful to the limited evidence provided."
Q026,c2_stage3_next_30,multi_doc,True,,32348,1,0.6667,0.4,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q027,c2_stage3_next_30,fuzzy_query,True,,33031,1,1.0,0.0,0.5,0.5,0.5,1.0,0.625,5.0,0.0,0.0,,[],[],,incomplete_answer,"The answer partially satisfies the reference by providing a narrowing-down process and identifying two methods, but omits A-RAG, making it incomplete."
Q028,c2_stage3_next_30,multi_doc,True,,29602,1,0.6667,0.25,0.5,0.5,0.5,1.0,0.625,3.0,0.0,0.0,,[],[],,incomplete_answer,"The answer correctly explains planning and multi-round retrieval but fails to address routing, making it incomplete per the judge rule."
Q029,c2_stage3_next_30,insufficient_evidence,True,,30361,1,0.5,0.0,1.0,1.0,0.5,1.0,0.875,2.0,0.0,0.0,,[],[],,none,"The generated answer correctly identifies the lack of evidence and explains the gaps, satisfying correctness and completeness, with partially accurate citations and full faithfulness."
Q030,c2_stage3_next_30,multi_doc,True,,28884,1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,[],[],,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q001,c3_formal_old_30,simple_qa,True,,26392,1,1.0,0.0,1.0,1.0,0.5,1.0,0.875,,,,,,,,none,"The answer correctly lists three core RAG components with roles, is complete, faithful to evidence, and has partially accurate citations."
Q002,c3_formal_old_30,simple_qa,True,,26786,1,1.0,0.3333,1.0,1.0,0.5,1.0,0.875,,,,,,,,none,"The generated answer correctly and completely addresses the question with proper citations and faithful content, though citation accuracy is slightly weakened by a less relevant chunk."
Q003,c3_formal_old_30,simple_qa,True,,183322,12,1.0,0.8,0.5,0.5,1.0,1.0,0.75,,,,,,,,incomplete_answer,"The answer accurately describes the relationship between LangGraph and LangChain with proper citations, but fails to explicitly list LangGraph's core functions (multi-step workflows, state persistence, branching, looping) as required by the reference answer and judge rule."
Q004,c3_formal_old_30,simple_qa,True,,25302,1,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,The generated answer accurately and completely addresses the question with proper citations and faithful evidence support.
Q005,c3_formal_old_30,fuzzy_query,True,,40415,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,"The generated answer correctly identifies Self-RAG and its self-reflection mechanism, is complete, accurately cited, and faithful to the evidence."
Q006,c3_formal_old_30,fuzzy_query,True,,33435,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,The generated answer correctly and completely addresses the question with accurate citations and faithful use of evidence.
Q007,c3_formal_old_30,fuzzy_query,True,,211776,11,0.25,0.2857,0.5,0.5,0.5,1.0,0.625,,,,,,,,incomplete_answer,"The answer lists four projects but misses the required Dify and CrewAI, and the positioning does not fully match the reference categories, resulting in partial correctness and completeness. Citations are relevant but not precisely aligned with gold chunks."
Q008,c3_formal_old_30,fuzzy_query,True,,163624,11,0.6,0.4,0.0,0.0,0.5,1.0,0.375,,,,,,,,incomplete_answer,"The answer fails to compare the RAG methods as required, resulting in low correctness and completeness, but it is faithful to the evidence and uses partially relevant citations."
Q009,c3_formal_old_30,multi_doc,True,,493285,43,1.0,0.8571,0.0,0.0,0.0,1.0,0.25,,,,,,,,off_topic,The answer is off-topic: it reports missing documentation instead of comparing LangChain and LlamaIndex RAG design differences.
Q010,c3_formal_old_30,multi_doc,True,,40256,1,1.0,0.75,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,"The generated answer is correct, complete, well-cited, and faithful to the evidence."
Q011,c3_formal_old_30,multi_doc,True,,119738,7,1.0,0.8,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
Q012,c3_formal_old_30,multi_doc,True,,255585,17,1.0,1.0,0.0,0.0,0.5,0.5,0.25,,,,,,,,wrong_answer,"The generated answer fails to provide the required comparison of classification perspectives, instead focusing on the absence of direct comparison in the evidence, which leads to an incorrect and incomplete response."
Q013,c3_formal_old_30,table_analysis,True,,284536,13,1.0,0.0,0.0,0.0,0.0,0.5,0.125,,,,,,,,incomplete_answer,"The generated answer incorrectly concludes that classification is impossible, ignoring evidence that supports the reference classification, resulting in an incomplete answer with low correctness and completeness."
Q014,c3_formal_old_30,table_analysis,True,,305978,19,0.8333,0.6,0.5,0.5,0.5,1.0,0.625,,,,,,,,incomplete_answer,"The answer correctly describes 3 RAG improvement directions with faithful citations, but misses 1-2 required directions, leading to partial correctness and completeness."
Q015,c3_formal_old_30,table_analysis,True,,390038,30,1.0,0.75,1.0,1.0,0.5,1.0,0.875,,,,,,,,none,"The answer is correct, complete, and faithful, with minor citation precision issues."
Q016,c3_formal_old_30,calculation,True,,24045,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,"The generated answer is correct, complete, accurately cited, and fully faithful to the evidence."
Q017,c3_formal_old_30,code_execution,True,,48465,2,1.0,0.6667,0.5,0.5,0.5,0.5,0.5,,,,,,,,incomplete_answer,"The answer correctly identifies two data acquisition methods but misses the third (urllib direct URL requests) required by the reference answer, resulting in partial correctness and completeness."
Q018,c3_formal_old_30,code_execution,True,,24468,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,none,"The generated answer is correct, complete, accurately cited, and faithful to the evidence."
