question_id,reference_answer,evidence_doc_id,evidence_chunk_id,citation_required,judge_rule
"Q011","Dify 偏向低代码 LLM/RAG 应用平台，强调工作流与应用构建；RAGFlow 偏向企业级 RAG 引擎，强调深度文档理解、可追溯引用和自动化 RAG 流程。","doc_005,doc_006","doc_005::chunk_0013,doc_005::chunk_0016,doc_006::chunk_0010,doc_006::chunk_0015,doc_006::chunk_0016",yes,"答出两者定位差异并给出各自特点得 1 分；只答其中一方或差异模糊得 0.5 分；错误得 0 分"
"Q012","2501.09136 更偏向按技术链路和系统能力组织 Agentic RAG；2603.07379 更偏向按 taxonomy、architecture、evaluation 等学术维度系统化分类。回答时应明确两篇综述的分类视角不同。","doc_012,doc_013","doc_012::chunk_0004,doc_013::chunk_0002,doc_013::chunk_0003",yes,"明确说出两篇综述的分类视角差异得 1 分；只给出笼统描述得 0.5 分；错误得 0 分"
"Q013","本题允许基于文档列表做人工归类，只要分类标准自洽并能列出对应论文即可。推荐的一种归类是：Survey 类 2 篇（'Retrieval-Augmented Generation for Large Language Models: A Survey'、'Agentic Retrieval-Augmented Generation: A Survey on Agentic RAG'）；SoK/Taxonomy 类 1 篇（'SoK: Agentic Retrieval-Augmented Generation (RAG): Taxonomy, Architectures, Evaluation, and Research Directions'）；Method/Framework 类 5 篇（KG-RAG、TeaRAG、Self-RAG、CRAG、A-RAG）；Practice/Tool 类 2 篇（Searching for Best Practices in Retrieval-Augmented Generation、SimGRAG）。","doc_011","doc_011::chunk_0001,doc_011::chunk_0024,doc_011::chunk_0029,doc_011::chunk_0031",no,"分类数量、标准和论文归属自洽且覆盖 10 篇论文得 1 分；分类基本合理但有少量遗漏或边界争议得 0.5 分；明显漏算或归类混乱得 0 分"
"Q014","可归纳的 RAG 改进方向包括：Self-RAG 的自我反思，CRAG 的检索纠错，A-RAG 的层次化接口，TeaRAG 的 token 效率优化，KG-RAG 的知识图谱增强。回答时列出 4 到 5 个方向并概述核心思路即可。","doc_011,doc_014,doc_015,doc_016,doc_017,doc_019","doc_014::chunk_0002,doc_015::chunk_0002,doc_016::chunk_0002,doc_017::chunk_0002,doc_019::chunk_0001",no,"答出 5 个左右方向并说明核心思路得 1 分；答出 3 到 4 个得 0.5 分；少于 3 个或错误得 0 分"
"Q015","分类结果应为：RAG 平台包括 Dify、RAGFlow；Agent 框架包括 CrewAI、LangGraph。回答时需给出分类依据，而不是只报结果。","doc_005,doc_006,doc_007,doc_008","doc_005::chunk_0013,doc_006::chunk_0010,doc_007::chunk_0005,doc_008::chunk_0001",no,"分类正确且说明依据得 1 分；分类正确但依据不足得 0.5 分；分类错误得 0 分"
"Q016","根据 rag_eval_results 表，Naive RAG 四项指标平均值约为 0.80，Agentic RAG 平均值约为 0.9025，平均高出约 0.1025。","doc_020","doc_020::chunk_0000",no,"计算过程和结果都正确得 1 分；方向正确但有小误差得 0.5 分；计算错误得 0 分"
"Q017","脚本中可明确识别出 3 种数据获取方式：1) arXiv API，请求 export.arxiv.org/api/query 获取论文元数据；2) Scrapling Fetcher，通过 Fetcher.get 抓取网页内容；3) urllib 直接请求 URL，例如通过 urllib.request.Request 和 urlopen 获取远程文本。回答时各举一例即可，不要求一定出现 git。","doc_022","doc_022::chunk_0002,doc_022::chunk_0003,doc_022::chunk_0004,doc_022::chunk_0012,doc_022::chunk_0013,doc_022::chunk_0014",no,"答出 3 种方式并各举一例得 1 分；答出 2 种得 0.5 分；少于 2 种或把不存在的方式当成主方式得 0 分"
"Q018","函数名实际为 `save_md`。它接收 `subdir`、`filename`、`content`、`source_url` 四个参数；保存文件时会写入标题、来源 URL、抓取时间和正文内容。","doc_022","doc_022::chunk_0001",no,"答出参数和保存的元信息得 1 分；只答参数或只答元信息得 0.5 分；错误得 0 分"
"Q019","从 C0 到 C2 的表格里，提升最大的通常是 Context Recall；按示例表，Naive RAG 到 Advanced RAG 的 Context Recall 从 0.75 提升到 0.84，增幅约 0.09。","doc_020","doc_020::chunk_0000",no,"计算和结论都正确得 1 分；方向正确但数字有小误差得 0.5 分；错误得 0 分"
"Q020","现有证据不足以证明 Agentic RAG 在所有知识服务任务上都优于普通 RAG。较合理的回答应指出：现有材料只覆盖部分 benchmark 或特定场景，不能外推到所有任务；因此应保持审慎结论。","doc_017,doc_020,doc_010","doc_017::chunk_0003,doc_020::chunk_0000,doc_010::chunk_0008",no,"明确指出证据不足并给出 2 条以上具体理由得 1 分；只说证据不足但理由较弱得 0.5 分；武断下结论得 0 分"
